address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma_5,sma_10,sma_20,sma_40,ema_5,ema_10,ema_20,ema_40,tsma,tma,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,lri,lrs,mp,mom,prc,sd,smi,ws,+di,-di,dx,adx,adxr,Target_2,Target_5,Target_10
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,70741.93457112797,3968,2024-04-11,70741.93457112797,70741.93457112797,70741.93457112797,70741.93457112797,70741.93457112797,70741.93457112797,100.0,62.4016,70132.6742,70132.6742,69261.6146,69380.5704,70193.059,69804.0791,69527.2773,69572.5443,70005.6481,69075.1395,200.1498,-43.8093,70609.2323,67913.9969,-0.0,472.8168,7756832.8827594295,71.7866,120.4471,70384.2366,160.5998,70741.9346,102.3795,2.0556,673.8088,82.1118,69862.6763,62.4016,37.5984,24.8032,17.748,20.2439,1,0,0
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,70469.04729127545,3967,2024-04-11,70469.04729127545,70469.04729127545,70469.04729127545,70469.04729127545,70469.04729127545,70469.04729127545,100.0,60.3799,69823.8792,69823.8792,69171.9435,69368.2166,69918.6213,69595.6667,69399.4186,69512.5756,69717.5208,69087.0351,110.9596,-104.799,70340.3813,68003.5057,-0.0,420.3923,7686090.948188301,53.5789,2.5961,70027.4573,125.3126,70469.0473,102.2788,2.1279,584.2189,70.3239,69642.8617,60.3798,39.6202,20.7597,17.2053,20.1688,0,0,0
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,70019.49569884922,3966,2024-04-11,70019.49569884922,70019.49569884922,70019.49569884922,70019.49569884922,70019.49569884922,70019.49569884922,100.0,56.8287,69604.1625,69604.1625,69072.0877,69372.559,69643.4083,69401.5822,69286.8261,69463.5257,69507.6207,69106.6624,23.2914,-158.7387,70114.6183,68029.5571,-0.0,187.9575,7615621.900897026,6.089,-213.229,69718.1771,96.3049,70019.4957,101.5391,1.2764,521.2653,54.0094,69436.3153,56.8287,43.1713,13.6574,16.9319,20.3035,0,0,0
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,69564.74424476652,3965,2024-04-11,69564.74424476652,69564.74424476652,69564.74424476652,69564.74424476652,69564.74424476652,69564.74424476652,-100.0,52.86,69578.3362,69578.3362,69018.3305,69407.372,69455.3646,69264.2681,69209.703,69435.0145,69315.9538,69136.7095,-43.1714,-204.2462,69966.517,68070.144,-47.0274,138.1105,7545602.405198176,32.5186,-612.5264,69422.9182,58.1556,69564.7442,101.1427,0.6564,474.0933,43.9187,69290.5202,52.86,47.14,5.72,17.1838,20.4701,0,0,0
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,69868.14906968873,3964,2024-04-11,69868.14906968873,69868.14906968873,69868.14906968873,69868.14906968873,69868.14906968873,69868.14906968873,100.0,56.0524,69386.3878,69386.3878,68992.6422,69447.7871,69400.6747,69197.4956,69172.3302,69428.3617,69194.7786,69175.6137,-81.0723,-244.5149,69907.4743,68077.8101,-1.7283,146.6665,7615167.149442943,33.9093,-108.7393,69243.6239,33.3257,69868.1491,100.7363,1.2176,457.416,46.0615,69221.9642,56.0524,43.9476,12.1047,18.0656,21.5597,0,0,0
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,69197.959604612,3963,2024-04-11,69197.959604612,69197.959604612,69197.959604612,69197.959604612,69197.959604612,69197.959604612,-100.0,49.8388,69188.3093,69188.3093,68946.8651,69482.6368,69166.9375,69048.4615,69099.0861,69405.8085,69009.857,69221.1281,-159.1604,-285.3756,69768.7858,68124.9444,-53.8685,95.9025,7545299.0003732545,36.6925,-550.3504,68991.9213,2.7517,69197.9596,99.8324,0.3121,410.9604,33.7736,69060.4179,49.8388,50.1612,0.3225,18.5241,22.4286,-1,0,0
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,69370.4639612217,3962,2024-04-11,69370.4639612217,69370.4639612217,69370.4639612217,69370.4639612217,69370.4639612217,69370.4639612217,-100.0,51.5819,68964.55,68964.55,68952.8205,69533.9151,69151.4265,69015.2396,69088.6784,69416.4674,68918.6531,69274.7053,-188.2767,-316.9294,69783.6106,68122.0304,-28.7047,665.864,7614496.959977866,44.6509,-281.3988,68932.6982,-3.4416,69370.464,100.3529,0.8114,415.3951,42.6484,69026.0325,51.5819,48.4181,3.1637,19.9242,23.5625,0,0,0
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,69890.36405712557,3961,2024-04-11,69890.36405712557,69890.36405712557,69890.36405712557,69890.36405712557,69890.36405712557,69890.36405712557,100.0,57.1785,68707.2398,68707.2398,68934.3361,69576.7773,69041.9078,68936.3009,69059.0168,69418.8265,68823.7345,69332.8148,-240.2651,-349.0926,69743.2986,68125.3736,-0.0,540.4434,7683867.423939087,23.4816,474.2502,68814.7631,-16.9487,69890.3641,101.3897,0.7872,404.4812,30.255,68939.9246,57.1784,42.8216,14.3569,21.2135,24.3981,1,0,0
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,68605.00241388948,3960,2024-04-11,68605.00241388948,68605.00241388948,68605.00241388948,68605.00241388948,68605.00241388948,68605.00241388948,-100.0,42.9742,68548.7235,68548.7235,68896.6693,69611.6251,68617.6796,68724.2869,68971.5065,69394.6451,68597.1647,69397.0589,-356.0618,-376.2994,69585.265,68208.0736,-48.3773,192.6559,7613977.059881962,-12.843,-696.6135,68590.6959,-35.8334,68605.0024,99.5018,-1.0992,344.2978,-19.3637,68702.3148,42.9742,57.0258,14.0516,21.7409,24.8819,0,0,0
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,68877.75640972007,3959,2024-04-10,68877.75640972007,68877.75640972007,68877.75640972007,68877.75640972007,68877.75640972007,68877.75640972007,100.0,45.9795,68607.5137,68607.5137,68921.9745,69685.742,68624.0182,68750.7945,69010.0859,69435.1396,68638.6595,69468.5545,-367.8083,-381.3589,69602.9924,68240.9566,-21.6004,-129.0538,7682582.062295851,-3.8746,-125.6952,68639.3573,-32.0761,68877.7564,100.5927,-1.6309,340.5089,-37.1889,68726.6429,45.9794,54.0206,8.0411,22.3324,24.697,0,0,0
