address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma_5,sma_10,sma_20,sma_40,ema_5,ema_10,ema_20,ema_40,tsma,tma,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,lri,lrs,mp,mom,prc,sd,smi,ws,+di,-di,dx,adx,adxr,Target_2,Target_5,Target_10
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,204.37336732271493,3970,2024-04-11,204.37336732271493,204.37336732271493,204.37336732271493,204.37336732271493,204.37336732271493,204.37336732271493,-13.7204,49.395,205.8915,205.8915,203.343,204.9539,205.1152,204.576,204.3093,205.4874,204.7519,204.2238,-0.1425,-0.7756,208.7409,197.9451,-100.0,-1.1065,12756.372898789516,6.66,-1.5119,207.1606,0.6354,204.3734,103.4241,-0.4734,2.6989,20.8831,204.6766,49.3948,50.6052,1.2104,13.9639,18.3884,-1,0,0
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,205.1965942590952,3969,2024-04-11,205.1965942590952,205.1965942590952,205.1965942590952,205.1965942590952,205.1965942590952,205.1965942590952,-24.9409,51.3356,205.8052,205.8052,203.3433,205.0615,205.4861,204.621,204.3026,205.5446,204.4258,204.3849,-0.1493,-0.9339,208.7414,197.9452,-63.7079,0.1397,12960.74626611223,22.975,-0.6169,206.7865,0.5936,205.1966,104.1735,-0.059,2.6991,57.7081,204.7524,51.3378,48.6622,2.6756,14.9449,18.0134,0,0,0
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,206.69304588238435,3968,2024-04-11,206.69304588238435,206.69304588238435,206.69304588238435,206.69304588238435,206.69304588238435,206.69304588238435,-11.7802,54.9892,205.5423,205.5423,203.275,205.1515,205.6309,204.4931,204.2084,205.5624,203.9774,204.5567,-0.2396,-1.13,208.6118,197.9382,-20.0933,1.5042,13165.942860371326,80.0184,0.8067,206.1913,0.532,206.693,101.8465,-0.6892,2.6684,78.7485,204.6413,54.9889,45.0111,9.9779,15.8887,18.4241,0,0,0
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,207.39985846576045,3967,2024-04-11,207.39985846576045,207.39985846576045,207.39985846576045,207.39985846576045,207.39985846576045,207.39985846576045,26.7513,56.7596,204.4101,204.4101,203.1515,205.2181,205.0998,204.0042,203.9469,205.5044,203.1449,204.7443,-0.5037,-1.3526,208.2763,198.0267,-0.0,2.1872,13372.63590625371,41.8334,1.5516,204.9189,0.3662,207.3999,102.437,0.0226,2.5624,78.3165,204.1284,56.7594,43.2406,13.5188,16.3434,18.435,1,1,1
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,205.79477813599073,3966,2024-04-11,205.79477813599073,205.79477813599073,205.79477813599073,205.79477813599073,205.79477813599073,205.79477813599073,30.8884,53.6102,203.6588,203.6588,202.8932,205.2875,203.9497,203.2496,203.5834,205.4072,202.3198,204.951,-0.9055,-1.5648,207.6424,198.144,-0.0,1.2093,13165.23604778795,17.9831,0.2283,203.413,0.1767,205.7948,100.8956,-1.3361,2.3746,62.2923,203.3105,53.6099,46.3901,7.2198,16.5607,18.5991,0,0,0
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,203.94147622975225,3965,2024-04-11,203.94147622975225,203.94147622975225,203.94147622975225,203.94147622975225,203.94147622975225,203.94147622975225,0.9877,49.6791,203.3684,203.3684,202.8521,205.4558,203.0272,202.6841,203.3507,205.3873,201.4858,205.1904,-1.2417,-1.7297,207.5135,198.1907,-12.1244,0.5434,12959.44126965196,36.4053,-1.5432,201.9878,-0.0438,203.9415,100.1863,-1.8298,2.3307,45.5504,202.6894,49.6802,50.3198,0.6396,17.2792,18.8976,0,0,0
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,203.88221363556593,3964,2024-04-11,203.88221363556593,203.88221363556593,203.88221363556593,203.88221363556593,203.88221363556593,203.88221363556593,47.5028,49.5547,202.6103,202.6103,202.9223,205.6553,202.5701,202.4046,203.2885,205.4615,201.0014,205.4508,-1.464,-1.8517,207.6884,198.1562,-10.9894,-0.1532,12755.499793422206,21.4846,-0.9084,201.1325,-0.1935,203.8822,99.0156,-1.9839,2.383,36.8735,202.3764,49.5533,50.4467,0.8933,18.5592,19.9642,0,0,0
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,201.0320449103314,3963,2024-04-11,201.0320449103314,201.0320449103314,201.0320449103314,201.0320449103314,201.0320449103314,201.0320449103314,-43.5246,43.1531,202.1121,202.1121,202.9941,205.8527,201.914,202.0763,203.226,205.5425,200.5547,205.7241,-1.7205,-1.9486,207.858,198.1302,-78.9791,0.2256,12551.61757978664,27.3386,-3.2503,200.4788,-0.2995,201.032,97.7857,-3.9401,2.432,30.9391,202.0,43.1516,56.8484,13.6967,19.9181,21.0123,-1,0,0
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,203.64351890154538,3962,2024-04-11,203.64351890154538,203.64351890154538,203.64351890154538,203.64351890154538,203.64351890154538,203.64351890154538,-11.6563,48.3764,201.4272,201.4272,203.3488,206.1742,202.355,202.3083,203.4569,205.7738,200.4647,206.01,-1.7326,-2.0056,208.6076,198.09,-10.3831,2.5661,12752.649624696971,63.2159,-0.1293,200.7166,-0.2937,203.6435,99.6398,-1.707,2.6294,41.6916,202.2419,48.3745,51.6255,3.251,20.3967,21.3031,0,0,0
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,204.34289728824834,3961,2024-04-11,204.34289728824834,204.34289728824834,204.34289728824834,204.34289728824834,204.34289728824834,204.34289728824834,69.8677,49.8789,200.0936,200.0936,203.5343,206.4258,201.7107,202.0116,203.4373,205.883,200.0008,206.2925,-1.9888,-2.0739,209.0757,197.9929,-0.0,2.1533,12956.293143598516,8.833,1.5107,200.2431,-0.3729,204.3429,100.2521,-0.5014,2.7707,15.6933,201.8916,49.8757,50.1243,0.2485,21.7156,21.8539,1,0,0
