value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma_5,sma_10,sma_20,sma_40,ema_5,ema_10,ema_20,ema_40,tsma,tma,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,lri,lrs,mp,mom,prc,sd,smi,ws,+di,-di,dx,adx,adxr,Target_2,Target_5,Target_10
0.05853876043918151,2614,2024-04-11,0.05853876043918151,0.05853876043918151,0.05853876043918151,0.05853876043918151,0.05853876043918151,0.05853876043918151,-0.0187,50.0,0.0589,0.0589,0.0591,0.0618,0.0589,0.0589,0.0596,0.0612,0.0577,0.0615,-0.0012,-0.0015,0.0629,0.0553,-72.7988,0.0002,-3.2420865110128827,-2.676,0.0,0.0595,0.0002,0.0585,105.5616,-5.4379,0.0019,19.7934,0.0589,42.5868,57.4132,14.8264,19.0237,19.5867,0,0,0
0.05966141394725697,2613,2024-04-11,0.05966141394725697,0.05966141394725697,0.05966141394725697,0.05966141394725697,0.05966141394725697,0.05966141394725697,0.0064,50.0,0.0589,0.0589,0.0593,0.0621,0.0591,0.059,0.0597,0.0613,0.0575,0.0618,-0.0012,-0.0016,0.0633,0.0553,-0.0,0.0005,-3.1835477505737013,51.573,0.0011,0.0594,0.0002,0.0597,101.7561,-4.7381,0.002,30.018,0.059,46.7536,53.2464,6.4929,19.3466,19.1578,1,1,0
0.05927828999036644,2612,2024-04-11,0.05927828999036644,0.05927828999036644,0.05927828999036644,0.05927828999036644,0.05927828999036644,0.05927828999036644,0.005,50.0,0.0587,0.0587,0.0595,0.0624,0.0589,0.0589,0.0598,0.0614,0.0571,0.0621,-0.0014,-0.0017,0.0638,0.0552,-0.0,0.0004,-3.2432091645209584,-22.4072,0.0007,0.0588,0.0001,0.0593,100.6314,-6.9419,0.0021,5.723,0.0588,45.0498,54.9502,9.9003,20.3354,19.0671,0,0,0
0.05898118554892168,2611,2024-04-11,0.05898118554892168,0.05898118554892168,0.05898118554892168,0.05898118554892168,0.05898118554892168,0.05898118554892168,0.0144,50.0,0.0589,0.0589,0.0597,0.0627,0.0587,0.0588,0.0598,0.0615,0.0567,0.0624,-0.0016,-0.0018,0.0643,0.0551,-53.3938,-0.0003,-3.3024874545113247,-6.9282,0.0004,0.0584,0.0,0.059,98.5686,-7.4313,0.0023,-5.9878,0.0587,43.7539,56.2461,12.4923,21.138,19.0126,0,0,0
0.05811928132297662,2610,2024-04-11,0.05811928132297662,0.05811928132297662,0.05811928132297662,0.05811928132297662,0.05811928132297662,0.05811928132297662,-0.0084,50.0,0.0589,0.0589,0.0599,0.0631,0.0585,0.0587,0.0599,0.0617,0.0565,0.0627,-0.0017,-0.0018,0.0649,0.0549,-100.0,-0.0005,-3.3614686400602465,5.0281,-0.0007,0.0578,-0.0001,0.0581,97.1983,-9.8688,0.0025,5.0818,0.0586,39.938,60.062,20.1239,21.8031,18.8394,-1,0,0
0.05862356477030892,2609,2024-04-11,0.05862356477030892,0.05862356477030892,0.05862356477030892,0.05862356477030892,0.05862356477030892,0.05862356477030892,0.0006,50.0,0.0589,0.0589,0.0603,0.0635,0.0587,0.0589,0.0601,0.0618,0.0564,0.063,-0.0017,-0.0018,0.0656,0.055,-65.6446,-0.0003,-3.30334935873727,33.2811,-0.0003,0.0574,-0.0002,0.0586,94.5714,-9.5681,0.0026,31.8138,0.0588,41.4664,58.5336,17.0672,21.9323,18.7982,0,0,0
0.05858732467259073,2608,2024-04-11,0.05858732467259073,0.05858732467259073,0.05858732467259073,0.05858732467259073,0.05858732467259073,0.05858732467259073,-0.023,46.1538,0.0586,0.0586,0.0604,0.0638,0.0587,0.0589,0.0602,0.062,0.0565,0.0633,-0.0017,-0.0019,0.0657,0.0551,-50.725,0.0007,-3.361972923507579,49.8898,-0.0003,0.057,-0.0003,0.0586,93.3073,-10.2097,0.0026,44.0204,0.0588,41.3165,58.6835,17.3669,22.3065,19.0545,0,0,0
0.059968614418062574,2607,2024-04-11,0.059968614418062574,0.059968614418062574,0.059968614418062574,0.059968614418062574,0.059968614418062574,0.059968614418062574,0.0124,53.8462,0.058,0.058,0.0606,0.0641,0.0587,0.059,0.0604,0.0622,0.0567,0.0636,-0.0018,-0.0019,0.0659,0.0553,-0.0,0.0016,-3.3033855988349883,100.0,0.0011,0.0569,-0.0004,0.06,94.676,-5.3316,0.0027,43.2815,0.0589,45.4334,54.5666,9.1333,22.6865,19.4477,1,1,0
0.059225528418527774,2606,2024-04-11,0.059225528418527774,0.059225528418527774,0.059225528418527774,0.059225528418527774,0.059225528418527774,0.059225528418527774,0.0218,53.8462,0.0571,0.0571,0.0608,0.0644,0.0581,0.0588,0.0604,0.0623,0.0566,0.064,-0.0021,-0.0019,0.0663,0.0553,-0.0,0.0014,-3.363354213253051,8.545,0.0005,0.0564,-0.0005,0.0592,95.4327,-7.8073,0.0027,6.9743,0.0586,42.5751,57.4249,14.8499,23.729,19.7989,0,0,0
0.05791962606551619,2605,2024-04-11,0.05791962606551619,0.05791962606551619,0.05791962606551619,0.05791962606551619,0.05791962606551619,0.05791962606551619,0.0112,53.8462,0.057,0.057,0.061,0.0646,0.0576,0.0587,0.0606,0.0625,0.0566,0.0644,-0.0023,-0.0019,0.0666,0.0554,-22.4152,0.0006,-3.4225797416715786,-16.6768,-0.0007,0.0561,-0.0006,0.0579,92.2995,-11.1623,0.0028,-37.3098,0.0584,37.2075,62.7925,25.585,24.412,20.1041,0,0,0
0.05724551937720916,2604,2024-04-10,0.05724551937720916,0.05724551937720916,0.05724551937720916,0.05724551937720916,0.05724551937720916,0.05724551937720916,0.0235,53.8462,0.0572,0.0572,0.0614,0.065,0.0574,0.0588,0.0609,0.0627,0.057,0.0647,-0.0024,-0.0018,0.067,0.0558,-48.1156,-0.0007,-3.480499367737095,-41.9851,-0.0009,0.0562,-0.0007,0.0572,90.6312,-13.0161,0.0028,-70.6197,0.0586,34.2623,65.7377,31.4755,24.3218,20.1071,0,0,0
0.05583689644742424,2603,2024-04-10,0.05583689644742424,0.05583689644742424,0.05583689644742424,0.05583689644742424,0.05583689644742424,0.05583689644742424,0.0064,46.1538,0.0577,0.0577,0.0617,0.0653,0.0575,0.0592,0.0612,0.063,0.0575,0.0651,-0.0023,-0.0017,0.0671,0.0563,-91.2776,-0.0021,-3.5377448871143042,-82.3027,-0.0018,0.0567,-0.0007,0.0558,86.7361,-17.5263,0.0027,-93.3132,0.0589,27.6803,72.3197,44.6393,23.7715,20.1489,0,0,0
0.05545458114248784,2602,2024-04-10,0.05545458114248784,0.05545458114248784,0.05545458114248784,0.05545458114248784,0.05545458114248784,0.05545458114248784,-0.053,42.8571,0.0585,0.0585,0.0622,0.0658,0.0583,0.0599,0.0618,0.0633,0.0584,0.0654,-0.0021,-0.0015,0.0671,0.0573,-100.0,-0.0015,-3.5935817835617283,-98.6955,-0.0019,0.058,-0.0005,0.0555,85.9727,-17.8772,0.0024,-96.7108,0.0597,25.8082,74.1918,48.3836,22.1663,19.7157,-1,-1,-1
0.05863180602016118,2601,2024-04-10,0.05863180602016118,0.05863180602016118,0.05863180602016118,0.05863180602016118,0.05863180602016118,0.05863180602016118,-0.0046,50.0,0.0598,0.0598,0.0626,0.0661,0.0598,0.0609,0.0625,0.0637,0.0597,0.0658,-0.0018,-0.0014,0.0664,0.0588,-100.0,-0.0011,-3.5381272024192403,-97.9651,0.0013,0.0596,-0.0004,0.0586,94.7124,-11.4106,0.0019,-93.7227,0.0607,32.2508,67.7492,35.4983,20.1496,18.3785,0,0,0
