address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma_5,sma_10,sma_20,sma_40,ema_5,ema_10,ema_20,ema_40,tsma,tma,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,lri,lrs,mp,mom,prc,sd,smi,ws,+di,-di,dx,adx,adxr,Target_2,Target_5,Target_10
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,3519.999963882248,3969,2024-04-11,3519.999963882248,3519.999963882248,3519.999963882248,3519.999963882248,3519.999963882248,3519.999963882248,-100.0,51.3207,3521.0459,3521.0459,3502.6666,3519.9757,3518.9666,3510.7088,3509.5142,3520.2287,3503.9015,3507.1834,-3.9656,-11.7502,3557.4122,3447.921,-60.7634,7.5344,480439.97566719184,51.2691,-22.9029,3527.5721,4.9096,3520.0,102.4535,0.5099,27.3728,59.9785,3511.8396,51.321,48.679,2.6421,15.07,19.1957,-1,0,0
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,3537.160612119021,3968,2024-04-11,3537.160612119021,3537.160612119021,3537.160612119021,3537.160612119021,3537.160612119021,3537.160612119021,100.0,55.0371,3512.6635,3512.6635,3501.9313,3522.7319,3518.4499,3508.6442,3508.4105,3520.2404,3499.8984,3508.9143,-5.3881,-13.6964,3556.1181,3447.7445,-0.0,19.6534,483959.9756310741,74.7626,-3.2528,3519.2888,3.7749,3537.1606,100.7905,0.5948,27.0934,68.2602,3509.7995,55.0373,44.9627,10.0746,16.026,20.0061,1,0,0
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,3527.4732438824367,3967,2024-04-11,3527.4732438824367,3527.4732438824367,3527.4732438824367,3527.4732438824367,3527.4732438824367,3527.4732438824367,100.0,53.2631,3502.0832,3502.0832,3500.4996,3525.42,3509.0946,3502.3072,3505.3842,3519.3727,3491.6368,3510.9943,-8.8727,-15.7735,3552.3502,3448.649,-0.0,16.1128,480422.8150189551,24.3979,-2.3909,3504.4616,1.6992,3527.4732,100.5755,0.8497,25.9253,46.3141,3502.9592,53.2633,46.7367,6.5265,16.4838,20.5404,0,0,0
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,3508.918853611007,3966,2024-04-11,3508.918853611007,3508.918853611007,3508.918853611007,3508.918853611007,3508.918853611007,3508.918853611007,-45.9633,49.7362,3497.9926,3497.9926,3498.1762,3528.4503,3499.9052,3496.7147,3503.059,3518.9573,3487.7656,3513.4864,-12.2049,-17.4987,3549.1407,3447.2117,-8.2105,12.3052,476895.3417750727,-15.0901,-12.3993,3492.9612,0.134,3508.9189,99.7286,0.0794,25.4823,21.799,3496.8307,49.7362,50.2638,0.5276,17.2498,21.4513,0,0,0
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,3511.676652584861,3965,2024-04-11,3511.676652584861,3511.676652584861,3511.676652584861,3511.676652584861,3511.676652584861,3511.676652584861,100.0,50.2597,3500.3803,3500.3803,3498.3552,3533.0933,3495.3984,3494.0027,3502.4422,3519.4721,3484.0152,3516.5138,-14.3912,-18.8221,3549.4943,3447.2161,-21.466,-5.4979,480404.26062868367,32.5418,-2.2096,3483.6273,-1.5522,3511.6767,100.079,-0.0111,25.5695,7.8488,3493.8086,50.2597,49.7403,0.5194,18.5361,22.4435,0,0,0
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,3478.0881379145303,3964,2024-04-11,3478.0881379145303,3478.0881379145303,3478.0881379145303,3478.0881379145303,3478.0881379145303,3478.0881379145303,-100.0,43.5389,3492.1275,3492.1275,3497.9027,3537.7441,3487.2593,3490.0751,3501.4701,3519.8719,3480.7135,3519.9876,-17.2532,-19.9298,3548.7214,3447.084,-84.7847,-10.9538,476892.5839760988,-6.2221,-29.8413,3474.6833,-3.0974,3478.0881,98.4823,-0.9225,25.4094,4.5583,3489.3416,43.5388,56.4612,12.9224,19.922,23.9247,-1,0,0
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,3484.25923984046,3963,2024-04-11,3484.25923984046,3484.25923984046,3484.25923984046,3484.25923984046,3484.25923984046,3484.25923984046,-100.0,44.5661,3493.4663,3493.4663,3499.1054,3543.0093,3491.8449,3492.7389,3503.9314,3522.0146,3484.5653,3523.9717,-17.2354,-20.599,3549.1237,3449.0871,-72.5513,2.1733,480370.67211401334,28.5812,-18.6468,3476.5083,-3.2846,3484.2592,98.786,-0.6848,25.0091,25.9749,3492.155,44.5661,55.4339,10.8677,20.4604,24.9419,0,0,0
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,3507.0198934224427,3962,2024-04-11,3507.0198934224427,3507.0198934224427,3507.0198934224427,3507.0198934224427,3507.0198934224427,3507.0198934224427,-100.0,48.4843,3485.3076,3485.3076,3500.7048,3548.3305,3495.6377,3494.6233,3506.0021,3523.9508,3486.0548,3528.3621,-17.5902,-21.4399,3550.7676,3450.642,-17.88,28.6311,483854.9313538538,55.8333,5.2165,3479.5439,-3.0487,3507.0199,99.6123,-0.7811,25.0314,34.3356,3494.1289,48.4842,51.5158,3.0316,21.1983,25.9789,0,0,0
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,3520.857518645521,3961,2024-04-11,3520.857518645521,3520.857518645521,3520.857518645521,3520.857518645521,3520.857518645521,3520.857518645521,100.0,51.0163,3471.0445,3471.0445,3500.2414,3552.5142,3489.9466,3491.8684,3505.895,3524.819,3484.9874,3533.1247,-20.1046,-22.4023,3550.2333,3450.2495,-0.0,24.5907,487361.9512472762,6.0978,25.4718,3476.308,-3.5631,3520.8575,100.444,-0.3117,24.996,11.5108,3490.9062,51.0162,48.9838,2.0324,22.5958,27.055,1,1,0
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,3470.412810151786,3960,2024-04-11,3470.412810151786,3470.412810151786,3470.412810151786,3470.412810151786,3470.412810151786,3470.412810151786,-100.0,40.4974,3468.7565,3468.7565,3499.5052,3556.9115,3474.4911,3485.4264,3504.32,3525.0222,3479.9493,3538.352,-24.4304,-22.9768,3548.6882,3450.3222,-52.9143,8.8409,483841.0937286307,-26.4736,-20.4905,3472.3069,-3.7407,3470.4128,98.9137,-1.3091,24.5915,-30.2987,3483.4184,40.4972,59.5028,19.0055,24.1776,28.3002,0,0,0
