value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma_5,sma_10,sma_20,sma_40,ema_5,ema_10,ema_20,ema_40,tsma,tma,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,lri,lrs,mp,mom,prc,sd,smi,ws,+di,-di,dx,adx,adxr,Target_2,Target_5,Target_10
3.6175856991393616,3414,2024-04-11,3.6175856991393616,3.6175856991393616,3.6175856991393616,3.6175856991393616,3.6175856991393616,3.6175856991393616,0.5146,52.8481,3.6059,3.6059,3.5144,3.5796,3.595,3.5666,3.5547,3.6074,3.5963,3.5188,-0.0075,-0.0367,3.6705,3.3583,-33.3984,-0.0038,-42.78510424241751,51.3341,-0.0127,3.6293,0.0158,3.6176,106.8185,1.1321,0.078,47.1084,3.5711,52.9138,47.0862,5.8276,18.2471,26.5174,0,0,0
3.5867108057282135,3413,2024-04-11,3.5867108057282135,3.5867108057282135,3.5867108057282135,3.5867108057282135,3.5867108057282135,3.5867108057282135,-0.7238,51.1416,3.5759,3.5759,3.5081,3.5875,3.5837,3.5552,3.5481,3.6069,3.5764,3.5254,-0.0141,-0.044,3.657,3.3592,-37.3753,0.0325,-46.40268994155687,14.4655,-0.037,3.6078,0.0139,3.5867,106.9342,0.2639,0.0745,51.3295,3.5595,51.2103,48.7897,2.4206,19.2024,26.7267,-1,0,0
3.630141080176187,3412,2024-04-11,3.630141080176187,3.630141080176187,3.630141080176187,3.630141080176187,3.630141080176187,3.630141080176187,-0.4616,53.7092,3.5663,3.5663,3.5019,3.5967,3.5821,3.5482,3.544,3.6079,3.564,3.5333,-0.0191,-0.0514,3.6475,3.3563,-14.5532,0.0777,-42.815979135828655,50.69,0.0048,3.5953,0.0134,3.6301,104.0483,0.7131,0.0728,55.1663,3.5527,53.7503,46.2497,7.5006,20.4933,27.7013,0,0,0
3.6578355576451944,3411,2024-04-11,3.6578355576451944,3.6578355576451944,3.6578355576451944,3.6578355576451944,3.6578355576451944,3.6578355576451944,2.0086,55.3191,3.5257,3.5257,3.4921,3.6052,3.5581,3.53,3.5349,3.6068,3.5432,3.5428,-0.0296,-0.0595,3.6279,3.3563,-0.0,0.0719,-39.18583805565247,24.3579,0.0468,3.5643,0.0103,3.6578,105.8876,1.7314,0.0679,39.4154,3.5333,55.3766,44.6234,10.7533,21.4927,28.2166,1,1,0
3.537321303011538,3410,2024-04-11,3.537321303011538,3.537321303011538,3.537321303011538,3.537321303011538,3.537321303011538,3.537321303011538,1.1631,49.0991,3.502,3.502,3.4776,3.6136,3.5083,3.5016,3.522,3.6042,3.5197,3.5541,-0.0454,-0.067,3.6008,3.3544,-2.019,0.0004,-42.84367361329766,-16.0093,-0.0455,3.5214,0.0058,3.5373,101.7923,-1.9263,0.0616,5.9932,3.5022,49.1609,50.8391,1.6781,22.3189,28.7484,0,0,0
3.4675368538065805,3409,2024-04-11,3.4675368538065805,3.4675368538065805,3.4675368538065805,3.4675368538065805,3.4675368538065805,3.4675368538065805,-1.1846,44.9472,3.5159,3.5159,3.479,3.6262,3.4937,3.4937,3.5204,3.6076,3.4981,3.5677,-0.0526,-0.0724,3.6054,3.3526,-77.4407,-0.0128,-46.3809949163092,-2.8581,-0.1022,3.5039,0.0035,3.4675,99.8946,-2.7322,0.0632,-5.8492,3.4934,45.045,54.955,9.9101,23.9066,29.6343,0,0,0
3.538613138870186,3408,2024-04-11,3.538613138870186,3.538613138870186,3.538613138870186,3.538613138870186,3.538613138870186,3.538613138870186,1.859,48.7102,3.5186,3.5186,3.4845,3.641,3.5069,3.4995,3.5259,3.6148,3.4908,3.5824,-0.0539,-0.0773,3.6178,3.3512,-37.8161,-0.0358,-42.91345806250262,-1.4918,-0.0045,3.5035,0.0028,3.5386,101.0085,-1.6222,0.0666,12.1292,3.4999,48.78,51.22,2.44,24.9833,30.4217,0,0,0
3.427071346004846,3407,2024-04-11,3.427071346004846,3.427071346004846,3.427071346004846,3.427071346004846,3.427071346004846,3.427071346004846,-1.8754,41.6667,3.5201,3.5201,3.4864,3.6538,3.491,3.4908,3.5246,3.6187,3.4698,3.5981,-0.0621,-0.0832,3.6238,3.349,-100.0,-0.0367,-46.4520712013728,7.6556,-0.1009,3.4876,0.0009,3.4271,97.3868,-5.7246,0.0687,19.9389,3.4902,41.7405,58.2595,16.5191,26.7174,31.631,-1,0,0
3.539593125229804,3406,2024-04-11,3.539593125229804,3.539593125229804,3.539593125229804,3.539593125229804,3.539593125229804,3.539593125229804,-1.1142,47.8632,3.512,3.512,3.4953,3.671,3.5229,3.505,3.5349,3.6285,3.4709,3.6148,-0.0602,-0.0885,3.639,3.3516,-30.4178,0.061,-43.02499985536796,41.4153,0.0202,3.5054,0.0032,3.5396,101.3966,-1.5526,0.0719,54.3584,3.5059,47.9083,52.0917,4.1835,27.5018,32.1613,0,0,0
3.6064455322196163,3405,2024-04-11,3.6064455322196163,3.6064455322196163,3.6064455322196163,3.6064455322196163,3.6064455322196163,3.6064455322196163,2.0832,52.0761,3.4749,3.4749,3.4981,3.6856,3.5146,3.4973,3.5344,3.6331,3.4512,3.6324,-0.0685,-0.0956,3.6472,3.349,-0.0,0.0691,-39.48540673013815,22.7924,0.0963,3.4953,0.0029,3.6064,104.1456,-1.8798,0.0746,52.1205,3.4975,52.1605,47.8395,4.3209,29.2956,32.9744,1,1,0
