address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma_5,sma_10,sma_20,sma_40,ema_5,ema_10,ema_20,ema_40,tsma,tma,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,lri,lrs,mp,mom,prc,sd,smi,ws,+di,-di,dx,adx,adxr,Target
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,205.42113627877657,3620,2024-03-27,205.42113627877657,205.42113627877657,205.42113627877657,205.42113627877657,205.42113627877657,205.42113627877657,-22.9961,43.8733,204.9358,204.9358,207.6398,209.3569,205.6556,206.2894,207.37,207.5627,205.4552,209.8308,-1.1177,-0.7569,211.9881,203.2915,-38.5693,1.1752,15103.198738712663,5.0758,2.1709,204.3279,-0.4554,205.4211,97.4008,-3.9419,2.1741,-6.8854,206.1514,43.8722,56.1278,12.2556,14.0886,15.9304,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,206.80090452593177,3619,2024-03-27,206.80090452593177,206.80090452593177,206.80090452593177,206.80090452593177,206.80090452593177,206.80090452593177,31.619,47.1228,204.8667,204.8667,207.6547,209.4861,205.7729,206.4823,207.5752,207.6725,206.1259,210.0025,-1.0917,-0.6667,211.9743,203.3351,-0.0,0.9857,15308.61987499144,-14.3984,2.9129,204.42,-0.5041,206.8009,98.9365,-3.6851,2.1598,-27.932,206.334,47.1201,52.8799,5.7599,14.2296,16.6085,1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,204.9037632882591,3618,2024-03-27,204.9037632882591,204.9037632882591,204.9037632882591,204.9037632882591,204.9037632882591,204.9037632882591,9.5703,41.6023,205.1073,205.1073,207.7629,209.5869,205.2589,206.4115,207.6567,207.7172,206.1793,210.1857,-1.1831,-0.5605,212.0998,203.426,-64.8547,-0.4907,15101.818970465509,-53.5212,0.152,204.4191,-0.5388,204.9038,97.0423,-4.3447,2.1684,-64.4912,206.2173,41.6002,58.3998,16.7997,14.8811,17.2739,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,204.3295458113346,3617,2024-03-27,204.3295458113346,204.3295458113346,204.3295458113346,204.3295458113346,204.3295458113346,204.3295458113346,18.4336,39.8385,205.8813,205.8813,208.0229,209.7364,205.4364,206.7465,207.9465,207.8615,206.5622,210.3681,-1.0893,-0.4048,212.2655,203.7803,-80.0714,-2.1047,14896.91520717725,-40.7959,-0.4311,205.2276,-0.4528,204.3295,97.3258,-4.1204,2.1213,-77.8147,206.5457,39.835,60.165,20.3299,14.7335,17.8068,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,203.2235305077501,3616,2024-03-27,203.2235305077501,203.2235305077501,203.2235305077501,203.2235305077501,203.2235305077501,203.2235305077501,-30.8664,36.4009,206.5245,206.5245,208.3845,209.9239,205.9898,207.2837,208.3272,208.0427,207.0052,210.5394,-0.8953,-0.2337,212.5381,204.2309,-100.0,-2.375,14692.585661365914,-68.2057,-1.7355,206.52,-0.2774,203.2235,97.5201,-4.6387,2.0768,-82.0694,207.0997,36.3967,63.6033,27.2066,14.3031,18.2082,-1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,205.07551590732427,3615,2024-03-27,205.07551590732427,205.07551590732427,205.07551590732427,205.07551590732427,205.07551590732427,205.07551590732427,-48.8139,39.9507,207.578,207.578,208.9103,210.1368,207.373,208.1859,208.8644,208.2898,207.5834,210.6934,-0.5221,-0.0683,212.9791,204.8415,-100.0,-1.038,14895.809191873665,-68.1114,-0.3141,208.0343,-0.0949,205.0755,99.3277,-4.3811,2.0344,-66.3264,208.0688,39.9462,60.0538,20.1075,13.3105,17.9033,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,208.00434807920212,3614,2024-03-27,208.00434807920212,208.00434807920212,208.00434807920212,208.00434807920212,208.00434807920212,208.00434807920212,-12.8177,46.6281,208.6269,208.6269,209.349,210.2926,208.5217,208.8771,209.2633,208.4546,207.9169,210.816,-0.2266,0.0451,213.5593,205.1387,-83.4686,-0.238,15100.88470778099,-20.5581,2.286,209.2449,0.0702,208.0043,100.0881,-2.8037,2.1051,-49.557,208.8171,46.6232,53.3768,6.7536,12.7876,18.1125,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,208.77340842100355,3613,2024-03-27,208.77340842100355,208.77340842100355,208.77340842100355,208.77340842100355,208.77340842100355,208.77340842100355,20.4614,48.6067,208.8685,208.8685,209.6845,210.3706,208.7804,209.0711,209.3958,208.4777,207.6706,210.9104,-0.1444,0.113,214.4458,204.9232,-55.7472,-0.709,15308.889055860192,-31.3196,2.6147,209.8197,0.1837,208.7734,100.8576,-1.9731,2.3806,-43.5812,209.0203,48.6041,51.3959,2.7918,13.2518,18.6436,1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,207.54572541855754,3612,2024-03-27,207.54572541855754,207.54572541855754,207.54572541855754,207.54572541855754,207.54572541855754,207.54572541855754,-15.7517,45.153,209.2944,209.2944,209.9563,210.3647,208.7839,209.1372,209.4613,208.4626,207.4146,210.979,-0.1158,0.1774,215.0851,204.8275,-100.0,-1.2762,15100.115647439188,-19.8384,0.6935,209.7388,0.1692,207.5457,100.8873,-1.266,2.5644,-42.7205,209.082,45.1497,54.8503,9.7007,14.0564,19.0298,-1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,208.49082736598146,3611,2024-03-27,208.49082736598146,208.49082736598146,208.49082736598146,208.49082736598146,208.49082736598146,208.49082736598146,-30.4858,47.4313,209.5901,209.5901,210.2346,210.3053,209.403,209.4909,209.6629,208.5096,207.6193,211.0198,0.0475,0.2507,215.4137,205.0555,-100.0,-0.1847,15307.661372857745,-30.7979,0.4559,209.8838,0.1634,208.4908,99.774,-0.8909,2.5895,-6.8362,209.4661,47.4284,52.5716,5.1432,14.3915,19.814,0
