value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma_5,sma_10,sma_20,sma_40,ema_5,ema_10,ema_20,ema_40,tsma,tma,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,lri,lrs,mp,mom,prc,sd,smi,ws,+di,-di,dx,adx,adxr,Target_2,Target_5,Target_10
1.3372725730329031,1691,2024-04-11,1.3372725730329031,1.3372725730329031,1.3372725730329031,1.3372725730329031,1.3372725730329031,1.3372725730329031,-0.0832,48.4127,1.3514,1.3514,1.3312,1.336,1.3462,1.345,1.3409,1.3475,1.3627,1.3276,0.0022,-0.0011,1.3875,1.2749,-100.0,-0.0116,-10.556392043001667,-36.5587,-0.0071,1.3666,0.0042,1.3373,104.5662,-0.0479,0.0282,-37.933,1.3457,48.583,51.417,2.834,15.1369,20.6485,-1,-1,0
1.342264734599145,1690,2024-04-11,1.342264734599145,1.342264734599145,1.342264734599145,1.342264734599145,1.342264734599145,1.342264734599145,-0.1521,50.0,1.3544,1.3544,1.3303,1.3368,1.3507,1.3468,1.3413,1.348,1.3626,1.3281,0.0029,-0.002,1.3868,1.2738,-100.0,-0.0076,-9.219119469968764,-31.0724,-0.0028,1.3714,0.0053,1.3423,105.7367,1.0008,0.0282,-1.4356,1.3478,50.0024,49.9976,0.0048,16.0833,20.4686,0,0,0
1.3513915933825007,1689,2024-04-11,1.3513915933825007,1.3513915933825007,1.3513915933825007,1.3513915933825007,1.3513915933825007,1.3513915933825007,-0.2338,52.5926,1.3568,1.3568,1.3296,1.3377,1.3549,1.3478,1.3412,1.3483,1.3603,1.3288,0.0034,-0.0032,1.3858,1.2734,-100.0,0.0016,-7.876854735369619,29.5092,0.0037,1.3745,0.0063,1.3514,103.7701,0.7097,0.0281,32.1865,1.3492,52.6118,47.3882,5.2236,17.3201,20.9452,0,0,0
1.3654207997109618,1688,2024-04-11,1.3654207997109618,1.3654207997109618,1.3654207997109618,1.3654207997109618,1.3654207997109618,1.3654207997109618,0.0783,56.7164,1.3542,1.3542,1.3279,1.3385,1.3566,1.347,1.3402,1.3481,1.3567,1.3296,0.0031,-0.0048,1.3834,1.2724,-0.0,0.0089,-6.525463141987118,1.747,0.015,1.3723,0.0064,1.3654,105.2731,1.3937,0.0278,44.6559,1.3486,56.846,43.154,13.6921,18.2506,21.0613,1,1,0
1.3607228335478467,1687,2024-04-11,1.3607228335478467,1.3607228335478467,1.3607228335478467,1.3607228335478467,1.3607228335478467,1.3607228335478467,0.1396,55.7143,1.354,1.354,1.325,1.3391,1.3522,1.3429,1.3375,1.3472,1.3506,1.3306,0.0012,-0.0068,1.3784,1.2716,-14.1331,0.0026,-7.89088394169808,-18.8295,0.0092,1.3643,0.0058,1.3607,104.0335,0.1771,0.0267,31.6755,1.3444,55.7384,44.2616,11.4767,18.6013,21.0725,0,0,0
1.3523439259531602,1686,2024-04-11,1.3523439259531602,1.3523439259531602,1.3523439259531602,1.3523439259531602,1.3523439259531602,1.3523439259531602,-0.0285,53.7931,1.3562,1.3562,1.3238,1.3406,1.348,1.3389,1.3351,1.3465,1.3418,1.332,-0.0007,-0.0088,1.375,1.2726,-58.1271,-0.003,-9.251606775245927,21.014,-0.002,1.3545,0.0046,1.3523,102.957,-0.1422,0.0256,30.7232,1.3403,53.7733,46.2267,7.5466,19.1494,21.2819,0,0,0
1.3540547965848273,1685,2024-04-11,1.3540547965848273,1.3540547965848273,1.3540547965848273,1.3540547965848273,1.3540547965848273,1.3540547965848273,0.264,54.1935,1.3524,1.3524,1.3231,1.3423,1.3458,1.3359,1.3332,1.3462,1.3343,1.3337,-0.0024,-0.0108,1.373,1.2732,-46.5277,-0.0063,-7.899262849292767,24.8457,0.0004,1.3467,0.0037,1.3541,101.9722,-0.8696,0.025,45.8929,1.3373,54.2298,45.7702,8.4595,20.0419,21.9704,0,0,0
1.3382131944844071,1684,2024-04-11,1.3382131944844071,1.3382131944844071,1.3382131944844071,1.3382131944844071,1.3382131944844071,1.3382131944844071,-0.4369,50.6494,1.348,1.348,1.3219,1.344,1.3417,1.3319,1.3311,1.3458,1.327,1.3356,-0.0046,-0.0129,1.3699,1.2739,-83.9091,0.0034,-9.253317645877594,46.7844,-0.0177,1.3379,0.0028,1.3382,101.0868,-1.8051,0.024,60.4683,1.3331,50.6259,49.3741,1.2519,20.9328,22.5455,-1,0,0
1.3644277517796035,1683,2024-04-11,1.3644277517796035,1.3644277517796035,1.3644277517796035,1.3644277517796035,1.3644277517796035,1.3644277517796035,-0.1255,57.5342,1.3361,1.3361,1.322,1.3467,1.3435,1.3305,1.3303,1.3462,1.3214,1.3379,-0.0058,-0.015,1.3703,1.2737,-8.0918,0.0321,-7.915104451393187,86.3116,0.0075,1.3319,0.002,1.3644,103.3752,1.8566,0.0241,79.6376,1.3318,57.5941,42.4059,15.1882,22.4467,23.3162,0,0,0
1.3719598941993327,1682,2024-04-11,1.3719598941993327,1.3719598941993327,1.3719598941993327,1.3719598941993327,1.3719598941993327,1.3719598941993327,0.6414,59.6026,1.3171,1.3171,1.3212,1.3485,1.333,1.323,1.3267,1.3453,1.3098,1.3403,-0.0099,-0.0173,1.3669,1.2755,-0.0,0.0356,-6.550676699613583,51.4627,0.0195,1.3191,0.0005,1.372,103.372,3.6331,0.0228,70.1673,1.3237,59.7897,40.2103,19.5795,23.0051,23.754,1,1,1
1.3334771971097292,1681,2024-04-11,1.3334771971097292,1.3334771971097292,1.3334771971097292,1.3334771971097292,1.3334771971097292,1.3334771971097292,0.0289,50.3759,1.3032,1.3032,1.3205,1.3504,1.3136,1.3121,1.3219,1.3439,1.2951,1.3431,-0.0157,-0.0191,1.3635,1.2775,-0.0,0.0294,-7.922636593812916,35.681,-0.0155,1.3041,-0.0011,1.3335,101.1522,1.7723,0.0215,37.9637,1.3116,50.9115,49.0885,1.823,23.2686,23.7853,0,0,0
1.3317417193518164,1680,2024-04-10,1.3317417193518164,1.3317417193518164,1.3317417193518164,1.3317417193518164,1.3317417193518164,1.3317417193518164,0.8811,50.0,1.2959,1.2959,1.3215,1.3531,1.3036,1.3073,1.3207,1.3445,1.2889,1.3461,-0.019,-0.02,1.3666,1.2764,-0.0,0.0094,-9.256113790922646,21.3499,-0.0047,1.2949,-0.0026,1.3317,101.8731,0.1986,0.0226,-8.7598,1.3062,50.4534,49.5466,0.9068,24.9183,24.148,0,0,0
1.2788764766757705,1679,2024-04-10,1.2788764766757705,1.2788764766757705,1.2788764766757705,1.2788764766757705,1.2788764766757705,1.2788764766757705,0.1573,32.1429,1.2911,1.2911,1.3232,1.3561,1.2895,1.3019,1.3196,1.3451,1.2823,1.3492,-0.0227,-0.0202,1.3722,1.2742,-75.5083,-0.017,-10.587855510274462,-54.0777,-0.0461,1.2861,-0.004,1.2789,95.6502,-6.0868,0.0245,-75.5418,1.2998,32.6837,67.3163,34.6326,26.7653,25.1167,0,0,0
1.2694409400456348,1678,2024-04-10,1.2694409400456348,1.2694409400456348,1.2694409400456348,1.2694409400456348,1.2694409400456348,1.2694409400456348,-0.5475,28.0702,1.298,1.298,1.3274,1.3603,1.2949,1.307,1.3238,1.3485,1.2879,1.3525,-0.0218,-0.0196,1.3748,1.28,-100.0,-0.0122,-11.866731986950233,-84.7242,-0.0452,1.2936,-0.0034,1.2694,94.8821,-7.7581,0.0237,-82.3086,1.305,28.4296,71.5704,43.1408,26.1601,24.8812,-1,-1,-1
1.3022938656690546,1677,2024-04-10,1.3022938656690546,1.3022938656690546,1.3022938656690546,1.3022938656690546,1.3022938656690546,1.3022938656690546,0.0878,35.7143,1.3097,1.3097,1.3309,1.3645,1.3076,1.3154,1.3296,1.3526,1.2992,1.3558,-0.0194,-0.019,1.3704,1.2914,-82.921,-0.0101,-10.597291046904598,-53.6359,0.0002,1.3038,-0.0026,1.3023,97.9931,-4.9931,0.0197,-70.3016,1.3139,35.73,64.27,28.54,24.8539,24.0131,0,0,0
1.2970268270861656,1676,2024-04-10,1.2970268270861656,1.2970268270861656,1.2970268270861656,1.2970268270861656,1.2970268270861656,1.2970268270861656,-0.1823,33.3333,1.314,1.314,1.332,1.3677,1.3102,1.3183,1.3324,1.3551,1.3061,1.3592,-0.0193,-0.0189,1.3694,1.2946,-100.0,-0.0115,-11.899584912573653,-58.8571,-0.0009,1.3061,-0.0027,1.297,96.6582,-5.1221,0.0187,-63.755,1.3168,33.1754,66.8246,33.6492,24.5704,23.8835,0,0,0
1.307966422857091,1675,2024-04-10,1.307966422857091,1.307966422857091,1.307966422857091,1.307966422857091,1.307966422857091,1.307966422857091,-0.0923,36.2745,1.3186,1.3186,1.3327,1.3711,1.3169,1.323,1.3362,1.3581,1.3158,1.3627,-0.0184,-0.0188,1.368,1.2974,-100.0,-0.0079,-10.602558085487487,-54.6363,0.0131,1.3099,-0.0028,1.308,97.1272,-5.0547,0.0177,-32.4901,1.3218,35.9297,64.0703,28.1405,23.872,23.6416,0,0,0
1.313503771350624,1674,2024-04-10,1.313503771350624,1.313503771350624,1.313503771350624,1.313503771350624,1.313503771350624,1.313503771350624,-0.2394,37.7358,1.3225,1.3225,1.3337,1.3743,1.3213,1.3263,1.3391,1.3607,1.3215,1.3666,-0.018,-0.0189,1.3672,1.3002,-100.0,-0.0018,-9.294591662630395,-12.3942,0.0105,1.3127,-0.0029,1.3135,96.7008,-5.0815,0.0168,-1.2789,1.3252,37.3887,62.6113,25.2225,23.5436,23.8304,0,0,0
1.3278661109118302,1673,2024-04-10,1.3278661109118302,1.3278661109118302,1.3278661109118302,1.3278661109118302,1.3278661109118302,1.3278661109118302,0.0673,41.7476,1.3234,1.3234,1.3361,1.3773,1.3252,1.3292,1.3418,1.3631,1.3231,1.3706,-0.018,-0.0192,1.3704,1.3018,-0.0,0.0024,-7.981087891279771,58.4462,0.0158,1.314,-0.0033,1.3279,98.0503,-4.5772,0.0171,13.9762,1.3281,41.4418,58.5582,17.1165,23.4145,24.0333,1,1,0
1.3238264908644226,1672,2024-04-10,1.3238264908644226,1.3238264908644226,1.3238264908644226,1.3238264908644226,1.3238264908644226,1.3238264908644226,0.0658,39.8148,1.3193,1.3193,1.3385,1.3802,1.3239,1.3294,1.3433,1.3649,1.3208,1.3748,-0.019,-0.0194,1.3767,1.3003,-16.9389,0.0026,-9.308954002191602,-21.6513,0.0088,1.313,-0.0038,1.3238,96.9173,-6.8002,0.0191,-3.3504,1.3282,39.7356,60.2644,20.5289,23.899,24.7981,0,0,0
