address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma_5,sma_10,sma_20,sma_40,ema_5,ema_10,ema_20,ema_40,tsma,tma,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,lri,lrs,mp,mom,prc,sd,smi,ws,+di,-di,dx,adx,adxr,Target
So11111111111111111111111111111111111111112,188.41831491361737,3620,2024-03-27,188.41831491361737,188.41831491361737,188.41831491361737,188.41831491361737,188.41831491361737,188.41831491361737,31.4944,47.1291,186.5801,186.5801,189.1847,190.8758,187.4239,188.0894,189.111,189.2403,187.7531,191.3562,-1.0267,-0.633,193.1799,185.1895,-0.0,0.8934,13231.197597920635,-15.5167,2.8303,186.1907,-0.4653,188.4183,98.9355,-3.4631,1.9976,-30.5266,187.9508,47.134,52.866,5.7321,14.4071,16.6364,1
So11111111111111111111111111111111111111112,186.5286516340984,3619,2024-03-27,186.5286516340984,186.5286516340984,186.5286516340984,186.5286516340984,186.5286516340984,186.5286516340984,8.1887,41.0797,186.8217,186.8217,189.2891,190.9738,186.9267,188.0163,189.1839,189.2824,187.7863,191.5253,-1.1158,-0.5346,193.3078,185.2704,-68.8836,-0.5388,13042.779283007018,-56.3548,0.0891,186.1834,-0.4978,186.5287,97.0215,-4.5262,2.0094,-67.0466,187.8339,41.0868,58.9132,17.8265,15.0744,17.3369,0
So11111111111111111111111111111111111111112,186.03732923391124,3618,2024-03-27,186.03732923391124,186.03732923391124,186.03732923391124,186.03732923391124,186.03732923391124,186.03732923391124,15.1341,39.4078,187.5445,187.5445,189.5582,191.1191,187.1258,188.3469,189.4634,189.4237,188.1196,191.6938,-1.0209,-0.3893,193.5221,185.5943,-81.8866,-1.9612,12856.250631372919,-43.2547,-0.4234,186.9566,-0.4156,186.0373,97.2635,-4.2709,1.9819,-78.3234,188.1602,39.4136,60.5864,21.1729,14.8627,17.8485,0
So11111111111111111111111111111111111111112,185.12928619455607,3617,2024-03-27,185.12928619455607,185.12928619455607,185.12928619455607,185.12928619455607,185.12928619455607,185.12928619455607,-27.628,36.3043,188.15,188.15,189.8936,191.2971,187.67,188.8601,189.824,189.5973,188.5607,191.8499,-0.8349,-0.2315,193.7425,186.0447,-100.0,-2.1918,12670.213302139007,-69.5374,-1.5346,188.1628,-0.2533,185.1293,97.4987,-4.6251,1.9245,-80.8802,188.6909,36.3092,63.6908,27.3816,14.3773,18.2041,-1
So11111111111111111111111111111111111111112,186.7869643072583,3616,2024-03-27,186.7869643072583,186.7869643072583,186.7869643072583,186.7869643072583,186.7869643072583,186.7869643072583,-47.3253,39.7583,189.134,189.134,190.3757,191.4929,188.9404,189.6892,190.3182,189.8265,189.1011,191.9902,-0.4928,-0.0806,194.1309,186.6205,-100.0,-0.9273,12855.342588333564,-69.6987,-0.3009,189.556,-0.085,186.787,99.2723,-4.4413,1.8776,-64.9293,189.5814,39.7629,60.2371,20.4742,13.377,17.8729,0
So11111111111111111111111111111111111111112,189.62648297374554,3615,2024-03-27,189.62648297374554,189.62648297374554,189.62648297374554,189.62648297374554,189.62648297374554,189.62648297374554,-8.5984,46.8457,190.1256,190.1256,190.7756,191.6434,190.0171,190.3341,190.6899,189.9823,189.4346,192.102,-0.2178,0.0225,194.6193,186.9319,-79.0385,-0.2412,13042.129552640823,-16.2162,2.2513,190.6718,0.0661,189.6265,100.1624,-2.6705,1.9218,-48.8039,190.28,46.8512,53.1488,6.2975,12.8311,18.0335,0
So11111111111111111111111111111111111111112,190.1423872669998,3614,2024-03-27,190.1423872669998,190.1423872669998,190.1423872669998,190.1423872669998,190.1423872669998,190.1423872669998,17.962,48.3006,190.304,190.304,191.0531,191.7161,190.2124,190.4914,190.8018,190.0006,189.2424,192.1887,-0.1528,0.0825,195.3048,186.8014,-59.79,-0.7005,13231.756035614568,-31.5231,2.3445,191.1717,0.1674,190.1424,100.791,-1.9853,2.1259,-44.6379,190.4433,48.304,51.696,3.392,13.3337,18.5623,1
So11111111111111111111111111111111111111112,189.06466643857073,3613,2024-03-27,189.06466643857073,189.06466643857073,189.06466643857073,189.06466643857073,189.06466643857073,189.06466643857073,-16.4148,44.9942,190.7283,190.7283,191.3146,191.7255,190.2474,190.5689,190.8712,189.9933,189.007,192.255,-0.1202,0.1414,195.9371,186.6921,-100.0,-1.1712,13041.613648347568,-18.4859,0.5981,191.1065,0.1534,189.0647,100.8849,-1.3525,2.3113,-41.4548,190.5186,44.9956,55.0044,10.0088,14.0984,18.8739,-1
So11111111111111111111111111111111111111112,190.04955397432258,3612,2024-03-27,190.04955397432258,190.04955397432258,190.04955397432258,190.04955397432258,190.04955397432258,190.04955397432258,-28.2557,47.5747,191.0045,191.0045,191.5782,191.6782,190.8387,190.9032,191.0614,190.0409,189.1903,192.2961,0.0329,0.2067,196.2584,186.898,-100.0,-0.1072,13230.678314786139,-26.5875,0.4804,191.1989,0.1363,190.0496,99.7601,-0.8361,2.3401,-2.6104,190.882,47.5795,52.4205,4.841,14.413,19.6336,0
So11111111111111111111111111111111111111112,191.744894196629,3611,2024-03-27,191.744894196629,191.744894196629,191.744894196629,191.744894196629,191.744894196629,191.744894196629,20.4411,52.3828,191.4455,191.4455,191.7811,191.6263,191.2333,191.0929,191.1679,190.0405,189.2673,192.3061,0.1277,0.2502,196.5299,187.0323,-28.5413,-0.3139,13420.727868760461,6.2443,1.5538,190.9961,0.0755,191.7449,99.913,1.0109,2.3744,29.1881,191.0901,52.3882,47.6118,4.7764,15.1493,20.8721,1
