address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma_5,sma_10,sma_20,sma_40,ema_5,ema_10,ema_20,ema_40,tsma,tma,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,lri,lrs,mp,mom,prc,sd,smi,ws,+di,-di,dx,adx,adxr,Target_2,Target_5,Target_10
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,203.14959175755683,3969,2024-04-11,203.14959175755683,203.14959175755683,203.14959175755683,203.14959175755683,203.14959175755683,203.14959175755683,-20.4093,51.4154,203.6891,203.6891,201.3689,203.0092,203.3807,202.5665,202.2729,203.4753,202.3581,202.3662,-0.1553,-0.9004,206.5657,196.1721,-61.747,0.0728,17447.773523733824,25.2479,-0.4827,204.649,0.569,203.1496,104.0058,-0.1411,2.5984,54.5093,202.6902,51.4203,48.5797,2.8407,16.1171,19.4461,0,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,204.37414820869412,3968,2024-04-11,204.37414820869412,204.37414820869412,204.37414820869412,204.37414820869412,204.37414820869412,204.37414820869412,-14.6506,54.6103,203.4049,203.4049,201.2973,203.0936,203.4963,202.4369,202.1806,203.492,201.939,202.5302,-0.2455,-1.0866,206.4331,196.1615,-24.9401,1.4088,17650.92311549138,74.918,0.6807,204.0781,0.5109,204.3741,101.7538,-0.3817,2.5679,73.9526,202.5753,54.6171,45.3829,9.2342,17.1383,19.8166,0,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,205.2531819871826,3967,2024-04-11,205.2531819871826,205.2531819871826,205.2531819871826,205.2531819871826,205.2531819871826,205.2531819871826,23.8504,56.9693,202.3547,202.3547,201.1833,203.1566,203.0574,202.0064,201.9498,203.4468,201.1955,202.7099,-0.482,-1.2969,206.1389,196.2277,-0.0,2.183,17855.297263700075,36.5138,1.552,202.907,0.3573,205.2532,102.398,-0.0225,2.4778,74.16,202.1256,56.9783,43.0217,13.9565,17.7463,19.8172,1,1,1
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,203.82216094188038,3966,2024-04-11,203.82216094188038,203.82216094188038,203.82216094188038,203.82216094188038,203.82216094188038,203.82216094188038,32.9295,53.9605,201.6988,201.6988,200.9504,203.2173,201.9595,201.2849,201.602,203.3542,200.3761,202.9072,-0.8663,-1.5007,205.5436,196.3572,-0.0,1.1355,17650.04408171289,15.798,0.4138,201.4192,0.1649,203.8222,100.921,-1.3018,2.2966,56.4739,201.3438,53.9701,46.0299,7.9403,18.0379,19.9636,0,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,201.84639099340424,3965,2024-04-11,201.84639099340424,201.84639099340424,201.84639099340424,201.84639099340424,201.84639099340424,201.84639099340424,1.9633,49.4298,201.4423,201.4423,200.8902,203.3756,201.0282,200.7211,201.3683,203.3302,199.5895,203.1339,-1.1985,-1.6593,205.3612,196.4192,-20.2973,0.3452,17446.22192077101,34.4637,-1.516,200.0352,-0.0475,201.8464,99.9579,-1.9285,2.2355,39.2572,200.7242,49.4376,50.5624,1.1247,18.8146,20.3418,0,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,201.728595167239,3964,2024-04-11,201.728595167239,201.728595167239,201.728595167239,201.728595167239,201.728595167239,201.728595167239,43.4277,49.1531,200.7236,200.7236,200.964,203.5706,200.6191,200.471,201.318,203.4062,199.14,203.3824,-1.4038,-1.7744,205.5432,196.3848,-18.9243,-0.2978,17244.375529777608,22.7491,-0.9626,199.2352,-0.1897,201.7286,98.9976,-2.074,2.2896,33.7319,200.4436,49.1605,50.8395,1.679,20.1754,21.4516,0,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,199.12293567900198,3963,2024-04-11,199.12293567900198,199.12293567900198,199.12293567900198,199.12293567900198,199.12293567900198,199.12293567900198,-47.5149,42.7016,200.2126,200.2126,201.0494,203.7641,200.0644,200.1916,201.2748,203.4923,198.7277,203.6431,-1.6335,-1.8671,205.7447,196.3541,-79.6992,0.3358,17042.64693461037,27.1556,-3.1682,198.657,-0.2858,199.1229,97.807,-3.9046,2.3476,30.84,200.1223,42.7105,57.2895,14.579,21.5981,22.5666,-1,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,201.9738266943968,3962,2024-04-11,201.9738266943968,201.9738266943968,201.9738266943968,201.9738266943968,201.9738266943968,201.9738266943968,-9.4355,49.0216,199.5657,199.5657,201.3511,204.0728,200.5351,200.429,201.5013,203.7163,198.7326,203.9146,-1.6376,-1.9255,206.282,196.4202,-8.5114,2.6912,17241.769870289372,69.0906,0.1348,198.9172,-0.2743,201.9738,99.8009,-1.5714,2.4655,42.543,200.3722,49.0303,50.9697,1.9395,22.1381,22.8721,0,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,202.53995535907498,3961,2024-04-11,202.53995535907498,202.53995535907498,202.53995535907498,202.53995535907498,202.53995535907498,202.53995535907498,71.4566,50.3961,198.236,198.236,201.5174,204.3072,199.8158,200.0857,201.4516,203.8057,198.2035,204.1867,-1.9093,-1.9975,206.7369,196.2979,-0.0,2.1603,17443.74369698377,11.5769,1.6292,198.3939,-0.3561,202.54,100.4076,-0.4454,2.6098,14.4793,199.9718,50.4055,49.5945,0.8111,23.6918,23.4563,1,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,198.25255771446862,3960,2024-04-11,198.25255771446862,198.25255771446862,198.25255771446862,198.25255771446862,198.25255771446862,198.25255771446862,-15.3509,38.2088,197.8984,197.8984,201.7159,204.5522,198.4537,199.5403,201.337,203.8706,197.4835,204.4657,-2.286,-2.0195,207.3606,196.0712,-47.0317,0.8147,17241.203741624693,-20.5025,-2.2127,197.8837,-0.4132,198.2526,98.0992,-1.9245,2.8224,-30.3102,199.3297,38.2191,61.7809,23.5619,25.4519,24.2019,0,0,0
